iter	Passed	Remaining
0	35	35772
1	56	28346
2	91	30409
3	119	29639
4	159	31801
5	191	31740
6	224	31867
7	250	31022
8	273	30117
9	295	29289
10	311	28044
11	330	27226
12	354	26924
13	382	26932
14	399	26266
15	433	26644
16	467	27055
17	499	27225
18	529	27346
19	553	27104
20	576	26882
21	605	26896
22	638	27139
23	658	26771
24	693	27058
25	727	27268
26	759	27356
27	782	27156
28	819	27434
29	855	27656
30	881	27550
31	912	27616
32	937	27466
33	985	28010
34	1020	28149
35	1053	28197
36	1077	28055
37	1099	27840
38	1137	28027
39	1163	27931
40	1191	27868
41	1234	28166
42	1269	28264
43	1295	28146
44	1317	27966
45	1350	28005
46	1386	28104
47	1412	28011
48	1447	28093
49	1477	28064
50	1507	28047
51	1535	28002
52	1565	27963
53	1601	28055
54	1631	28024
55	1652	27853
56	1679	27784
57	1706	27723
58	1726	27535
59	1760	27579
60	1789	27547
61	1820	27538
62	1851	27539
63	1889	27639
64	1930	27767
65	1961	27759
66	1985	27650
67	2006	27499
68	2029	27377
69	2051	27249
70	2084	27276
71	2110	27200
72	2136	27129
73	2167	27125
74	2196	27092
75	2217	26959
76	2239	26844
77	2267	26798
78	2285	26645
79	2317	26651
80	2340	26550
81	2371	26553
82	2390	26414
83	2408	26267
84	2429	26151
85	2459	26141
86	2487	26101
87	2507	25989
88	2533	25937
89	2562	25914
90	2585	25831
91	2621	25871
92	2660	25947
93	2700	26026
94	2718	25893
95	2742	25829
96	2785	25934
97	2810	25864
98	2839	25839
99	2874	25869
100	2900	25818
101	2929	25788
102	2956	25747
103	2979	25671
104	3002	25589
105	3040	25646
106	3075	25667
107	3106	25657
108	3145	25715
109	3169	25646
110	3187	25531
111	3206	25419
112	3233	25385
113	3267	25391
114	3294	25355
115	3324	25337
116	3350	25283
117	3374	25222
118	3409	25244
119	3434	25189
120	3458	25126
121	3486	25093
122	3514	25060
123	3540	25008
124	3561	24933
125	3589	24898
126	3618	24876
127	3639	24796
128	3667	24764
129	3707	24810
130	3741	24818
131	3777	24842
132	3815	24869
133	3852	24898
134	3871	24808
135	3908	24831
136	3923	24717
137	3948	24666
138	3965	24560
139	3989	24507
140	4009	24426
141	4029	24344
142	4062	24346
143	4081	24264
144	4107	24219
145	4131	24167
146	4150	24084
147	4176	24044
148	4202	23999
149	4222	23926
150	4238	23832
151	4260	23771
152	4292	23761
153	4318	23722
154	4346	23694
155	4364	23610
156	4389	23566
157	4415	23529
158	4438	23478
159	4459	23410
160	4480	23347
161	4509	23325
162	4532	23273
163	4558	23237
164	4583	23197
165	4613	23179
166	4640	23144
167	4662	23088
168	4690	23064
169	4710	23000
170	4732	22940
171	4758	22906
172	4798	22940
173	4845	23004
174	4878	22996
175	4905	22964
176	4939	22966
177	4965	22932
178	4998	22928
179	5025	22896
180	5059	22894
181	5098	22917
182	5125	22883
183	5152	22851
184	5184	22839
185	5204	22774
186	5232	22750
187	5257	22709
188	5287	22686
189	5320	22680
190	5350	22664
191	5380	22643
192	5403	22592
193	5424	22536
194	5447	22487
195	5463	22412
196	5492	22389
197	5517	22349
198	5535	22282
199	5568	22275
200	5598	22254
201	5618	22197
202	5652	22192
203	5686	22188
204	5720	22185
205	5744	22141
206	5764	22082
207	5789	22046
208	5818	22022
209	5842	21979
210	5875	21969
211	5894	21907
212	5917	21864
213	5950	21855
214	5971	21802
215	5996	21764
216	6013	21696
217	6034	21646
218	6061	21618
219	6086	21577
220	6115	21555
221	6147	21545
222	6177	21524
223	6200	21481
224	6232	21465
225	6254	21418
226	6276	21373
227	6291	21301
228	6313	21256
229	6335	21211
230	6355	21156
231	6374	21101
232	6393	21046
233	6413	20993
234	6441	20970
235	6465	20929
236	6493	20903
237	6516	20862
238	6558	20883
239	6581	20840
240	6614	20830
241	6643	20810
242	6669	20776
243	6695	20744
244	6723	20720
245	6760	20722
246	6785	20686
247	6804	20633
248	6835	20616
249	6852	20557
250	6879	20528
251	6904	20492
252	6928	20457
253	6951	20416
254	6972	20369
255	6992	20321
256	7026	20315
257	7060	20306
258	7075	20243
259	7092	20187
260	7121	20162
261	7157	20161
262	7173	20101
263	7197	20065
264	7225	20040
265	7260	20034
266	7288	20008
267	7307	19958
268	7342	19952
269	7371	19931
270	7390	19880
271	7419	19858
272	7437	19807
273	7465	19782
274	7506	19789
275	7525	19741
276	7554	19717
277	7588	19708
278	7605	19655
279	7634	19630
280	7655	19589
281	7682	19561
282	7697	19501
283	7720	19463
284	7734	19404
285	7770	19398
286	7799	19377
287	7828	19352
288	7862	19343
289	7894	19327
290	7925	19310
291	7947	19269
292	7981	19259
293	8006	19226
294	8035	19204
295	8060	19169
296	8084	19137
297	8119	19127
298	8137	19078
299	8160	19040
300	8184	19006
301	8202	18959
302	8233	18940
303	8270	18935
304	8308	18932
305	8343	18921
306	8363	18879
307	8387	18844
308	8415	18818
309	8433	18772
310	8453	18727
311	8481	18703
312	8512	18683
313	8546	18671
314	8569	18634
315	8611	18640
316	8648	18632
317	8691	18639
318	8710	18595
319	8736	18564
320	8753	18517
321	8793	18516
322	8831	18511
323	8854	18474
324	8882	18447
325	8910	18422
326	8946	18413
327	8967	18373
328	8989	18334
329	9012	18298
330	9047	18286
331	9062	18235
332	9080	18188
333	9099	18144
334	9126	18117
335	9148	18079
336	9181	18063
337	9214	18047
338	9234	18005
339	9265	17985
340	9293	17959
341	9323	17937
342	9338	17887
343	9365	17858
344	9379	17807
345	9399	17766
346	9420	17727
347	9443	17692
348	9463	17652
349	9488	17620
350	9507	17579
351	9522	17529
352	9545	17495
353	9573	17470
354	9599	17440
355	9613	17391
356	9637	17357
357	9667	17336
358	9699	17318
359	9723	17286
360	9748	17255
361	9778	17233
362	9799	17195
363	9822	17162
364	9846	17130
365	9877	17109
366	9890	17058
367	9919	17036
368	9939	16996
369	9953	16948
370	9984	16927
371	10009	16898
372	10023	16849
373	10053	16826
374	10078	16797
375	10093	16750
376	10119	16723
377	10142	16689
378	10176	16674
379	10201	16644
380	10220	16604
381	10236	16561
382	10271	16546
383	10286	16501
384	10311	16470
385	10335	16441
386	10350	16394
387	10379	16372
388	10396	16330
389	10417	16294
390	10431	16247
391	10451	16209
392	10465	16164
393	10486	16129
394	10511	16100
395	10537	16071
396	10559	16038
397	10578	16000
398	10608	15979
399	10631	15947
400	10674	15944
401	10692	15906
402	10720	15881
403	10741	15845
404	10764	15813
405	10796	15795
406	10821	15766
407	10838	15725
408	10858	15690
409	10880	15656
410	10906	15629
411	10935	15606
412	10953	15568
413	10992	15559
414	11018	15532
415	11056	15521
416	11096	15514
417	11123	15487
418	11147	15457
419	11182	15442
420	11207	15414
421	11243	15400
422	11269	15372
423	11297	15347
424	11328	15326
425	11357	15303
426	11383	15275
427	11403	15239
428	11435	15220
429	11464	15196
430	11494	15174
431	11527	15156
432	11544	15117
433	11561	15078
434	11575	15035
435	11599	15004
436	11622	14974
